Sr.no,Year,Mo,Dy,Hr,Mn,Sec,TsunamiNanEventNanValidity,TsunamiNanCauseNanCode,EarthquakeNanMagnitude,Vol,MoreNanInfo,Deposits,Country,LocationNanName,Latitude,Longitude,MaximumNanWaterNanHeightNan(m),NumberNanofNanRunups,TsunamiNanMagnitudeNan(Abe),TsunamiNanMagnitudeNan(Iida),TsunamiNanIntensity,Deaths,DeathNanDescription,Missing,MissingNanDescription,Injuries,InjuriesNanDescription,DamageNan($Mil),DamageNanDescription,HousesNanDestroyed,HousesNanDestroyedNanDescription,HousesNanDamaged,HousesNanDamagedNanDescription,TotalNanDeaths,TotalNanDeathNanDescription,TotalNanMissing,TotalNanMissingNanDescription,TotalNanInjuries,TotalNanInjuriesNanDescription,TotalNanDamageNan($Mil),TotalNanDamageNanDescription,TotalNanHousesNanDestroyed,TotalNanHousesNanDestroyedNanDescription,TotalNanHousesNanDamaged,TotalNanHousesNanDamagedNanDescription
67,1905,8,,,,,0,8,,,,0,CANADA,THOMPSONNanRIVER,50.42,-121.35,6,0,,,,15,1,,,,,,2,,1,,,15,1,,,,,,2,,1,,
68,1905,9,8,1,43,11,4,1,7.1,,,0,ITALY,TYRRHENIANNanCALABRIA,38.67,16.07,1.3,0,,,4,,,,,,,,,,,,,557,3,,,2000,4,,4,6700,4,,
69,1905,10,4,22,29,,4,1,5.1,,,0,RUSSIA,BLACKNanSEA,44.5,37.5,0.5,1,,-1,2,,,,,,,,,,,,,,,,,,,,,,,,
70,1905,10,21,11,1,37,1,1,7.5,,,0,GEORGIA,CAUCASUS,42,42,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1905,11,8,22,6,11.8,3,3,7.2,,,0,GREECE,NORTHNanAEGEANNanSEA,40.092,24.627,3,1,,,,5,1,,,,,,2,,,,,11,1,,,,,,2,,,,
72,1905,11,22,,,,2,1,,,,0,VANUATU,PORTNanVILA,-17.7,168.3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,1905,11,24,,,,2,1,,,,0,VANUATU,PORTNanVILA,-17.7,168.3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1905,12,8,8,22,,1,1,6.5,,,0,PHILIPPINES,W.NanLUZONNanISLAND,11,123.5,,1,,-0.5,0,,,,,,,,,,,,,,,,,,,,1,,,,
75,1905,,,,,,2,1,,,,0,TUNISIA,BALEARICNanSEA,37.3,9.9,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,
76,1905,,,,,,1,0,,,,0,TOGO,GOLDNanCOAST,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1906,1,31,15,36,10,4,1,8.8,,,0,ECUADOR,OFFNanCOAST,0.955,-79.369,5,58,,1,3,1000,3,,,,,,3,,3,,,1000,3,,,,,,3,,3,,
78,1906,1,31,,,,4,1,,,,0,VENEZUELA,CARACAS,10.5,-66.916,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,1906,2,7,,,,4,1,,,,0,ECUADOR,COLOMBIA-ECUADOR,1,-81,0.25,1,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,
80,1906,2,21,,,,3,1,,,,0,COLOMBIA,BUENAVENTURA,3.9,-77.033,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,1906,4,4,,,,4,6,,1344,,0,ITALY,TYRRHENIANNanSEA,40.821,14.426,0.4,0,,,3,,,,,,,,,,,,,350,3,,,300,3,,,,,,
82,1906,4,18,13,12,0,4,3,7.9,,,0,USA,N.NanCALIFORNIA,37.7,-122.5,0.1,3,,-3.3,-4,,,,,,,,,,,,,,,,,,,,,,,,
83,1906,5,7,,,,2,1,,,,0,CHILE,NORTHERNNanCHILE,-18.5,-70.3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
